id_equipamento,ibge,cidade,nome,endereco,numero,bairro,latitude,longitude
11502303470,150230,Capitão Poço,CREAS - Luiza Saraiva de Souza,JOÃO MOURA DA COSTA  - 806,806,JR,-1.7470632148377112,-47.06387400627137
11502401112,150240,Castanhal,CREAS Centro de Referência Especializado de Assistência Social de Castanhal,Gilberto Menezes - 00,00,Cristo,-1.2959996247622103,-47.94397473313439
11502700508,150270,Conceição do Araguaia,CREAS DE CONC. DO ARAGUAIA,BENEDITO ROCHA - 2852,2852,SÃO LUIZ II,-8.265943530988803,-49.26627039916639
11502903344,150290,Curuçá,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DA ASSISTÊNCIA SOCIAL,DUQUE DE CAXIAS - 00,00,CENTRO,-0.7309089537486021,-47.84844160079957
11502931491,150293,Dom Eliseu,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,CEARÁ - 682,682,CENTRO,-4.290692196424481,-47.55473288634676
11503093550,150309,Goianésia do Pará,CREAS NOVO HORIZONTE,BARÃO DO RIO BRANCO - 15,15,NOVO HORIZONTE,-3.843,-49.097
11503302798,150330,Igarapé-miri,CREAS MORENINHA DO BAIXO TOCANTINS,Coronel Vitório  - 40,40,Perpetuo Socorro,-1.9804276198120825,-48.96237373352051
11503450395,150345,Ipixuna do Pará,CREAS Amigo da Criança,RUI BARBOSA - 137,137,CENTRO,-2.5590990541038234,-47.49551415436145
11503501472,150350,Irituia,CREAS LEONILIA NUNES LIMA DA SILVA TIA LULU,JOSÉ VIEIRA  - 32,32,VILA NOVA,-1.7728185570985557,-47.440545559539956
11503602976,150360,Itaituba,CREAS FLOR DO SOL,Belém - 00,00,Centro,-4.2720620131837554,-55.98575413227082
11503753055,150375,Jacareacanga,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL DE JACAREACANGA,Tenente Fernandes - 0,0,São Pedro,-6.226355431449834,-57.75851726531983
11503800747,150380,Jacundá,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADA DE ASSISTÊNCIA SOCIAL,JATOBAL  - 116,116,Palmares,-4.447885436832276,-49.114948511123664
11504050611,150405,Mãe do Rio,CREAS CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,ANTONIO SARAIVA RABELO - 528,528,CENTRO,-2.0464725438858995,-47.55374193191529
11504202847,150420,Marabá,CREAS CARAJÁS,ESPIRITO SANTO - 285,285,AMAPÁ,-5.370767260010181,-49.12984013557435
11504421447,150442,Marituba,CREAS MARITUBA,TRAVESSA SÃO MIGUEL - 60,60,CENTRO,-1.3691314248347575,-48.34066391005763
11504701023,150470,Moju,CREAS / CENTRO DE REFERÊNCIA ESPECIALIZADO DA ASSISTÊNCIA SOCIAL,JOSE AGOSTINHO DURÃO - 02,02,PEDREIRA,-1.8872685909355165,-48.76301050186158
11504901901,150490,Muaná,CREAS - Desembargador Dr. Paulo Frota,Bacabal - 0,0,CENTRO,-1.5294284932155702,-49.21950101852418
11505062972,150506,Novo Repartimento,CREAS JANICLEIA BRANDÃO DE OLIVEIRA,ARAPONGAS - 11,11,UIRAPURU,-4.2482545263808404,-49.948139190673835
11505102817,150510,Óbidos,CREAS - CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,Isaac de Paiva Soares - 0,0,FATIMA,-1.909272080609306,-55.5145812034607
11505300727,150530,Oriximiná,CREAS - CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,ANTONIO DE SOUZA BENTES - 25,25,CENTRO,-1.7706197877468033,-55.866808891296394
11505501695,150550,Paragominas,CREAS - PARAGOMINAS,Argentina - 35,35,GUANABARA,-2.9884916742383365,-47.35362768173218
11505530567,150553,Parauapebas,CREAS - Centro de Referência Especializado de Assistência Social,11 - 201,201,União,-6.0735814083920285,-49.907400459051146
11505803223,150580,Portel,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,Augusto Montenegro - 1018,1018,Vila Velha,-1.936475810382496,-50.81966400146485
11506003493,150600,Prainha,CREAS Iluminar,Augusto Montenegro - S/N,S/N,DA PAZ,-1.788013569037576,-53.484513759613044
11506130294,150613,Redenção,CREAS REDENÇÃO,ARAGUAIA - 1,1,ALTO PARANÁ,-8.044782260092097,-50.01718997955323
11506500036,150650,Santa Isabel do Pará,CREAS - ACOLHER E FORTALECER,TRAVESSA SANTA IZABEL - 1030,1030,CENTRO,-1.3001375092222394,-48.160870671272285
11506603269,150660,Santa Maria do Pará,CREAS - CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,SÃO SEBASTIÃO - 0,0,centro,-1.3474175951873832,-47.580070495605476
11506801932,150680,Santarém,CREAS Municipal,SILVA JARDIM - 460,460,ALDEIA,-2.4227511666704946,-54.721895634702385
11507203445,150720,São Domingos do Capim,CREAS - CENTRO DE REFERENCIA ESPECIALIZADA DE ASSISTENCIA SOCIAL,Rua Antonio Correa de Melo SN - 0,0,CENTRO,-1.7092255233420772,-47.77798533439636
11507302086,150730,São Félix do Xingu,CREAS - Centro de Referência Especializado da Assistência Social / Estelita p.de Sousa,MARANHÃO - 00,00,UNIÃO,-6.6337927331260484,-51.979378223550164
11507452917,150745,São Geraldo do Araguaia,CREAS Centro de Referência Especializado de Assistência Social,ANTONIO NONATO PEDROSA - 34,34,ALTO BEC,-6.386996470939339,-48.56227397918701
11507601421,150760,São Miguel do Guamá,CREAS SULA DA SILVA DOS SANTOS,PIO XII - 00,00,PATAUATEUA,-1.6199671127799986,-47.47726678848267
11507951254,150795,Tailândia,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADA DE ASSISTÊNCIA SOCIAL,MONTE ALEGRE - 03,03,SANTA MARIA,-2.907424728737902,-48.736681938171394
11508033446,150803,Tracuateua,CREAS TRACUATEUA,DO SOSSEGO - 126,126,CENTRO,-1.0788280014461915,-46.90383195877075
11508101739,150810,Tucuruí,CREAS CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,"DOM CORNELIO VERMANS, S//N? - 0",0,CENTRO,-3.7659601674614067,-49.67040121537139
11508120205,150812,Ulianópolis,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADA DA ASSISTÊNCIA SOCIAL,PIAUI - 221,221,CAMINHO DAS ARVORES,-3.749902110952864,-47.499421834945686
