municipality_code,municipality_name,reference_year,reference_date,source,accessibility_coverage_status,criterion__reachable_service_fraction,criterion__services_within_120_fraction,criterion__nearest_reachable_service_time_min,criterion__median_reachable_service_time_min,diagnostic__health_specialized_unit_count,diagnostic__creas_unit_count,diagnostic__specialized_security_unit_count,diagnostic__specialized_justice_unit_count,diagnostic__health_specialized_present,criterion__health_specialized_absence,diagnostic__creas_present,criterion__creas_absence,diagnostic__specialized_security_present,criterion__specialized_security_absence,diagnostic__specialized_justice_present,criterion__specialized_justice_absence,diagnostic__institutional_pillars_present,diagnostic__institutional_pillar_deficit_fraction,institutional_reference_window,institutional_source_role,diagnostic__census_sector_count,diagnostic__female_population_observed,diagnostic__female_rural_observed,diagnostic__female_urban_observed,diagnostic__female_population_unavailable_sector_count,diagnostic__female_age_covered,diagnostic__female_15_29,diagnostic__female_30_59,diagnostic__female_60_plus,diagnostic__age_complete_sector_count,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered
1501709,Bragança,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.643008908819133,0.1482747184853014,6.1281365796785,180.10433869255135,0,1,1,0,0,1,1,0,1,0,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,229,61501.0,16668.0,44833.0,1,59344.0,15320.0,22796.0,6764.0,194,0.2710199834149038,0.9649273995544788,0.2581558371528714,0.3841331895389593,0.11397950930169858
1501725,Brasil Novo,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.1111111111111111,0.0393677402664597,5.745882335154936,226.26645005181604,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,60,12071.0,5124.0,6947.0,2,10998.0,2833.0,4218.0,1109.0,42,0.42448844337668795,0.911109270151603,0.2575922895071831,0.38352427714129844,0.10083651573013275
1501758,Brejo Grande do Araguaia,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.0413184190902311,9.542895269271712,452.0594761675838,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,24,3340.0,1391.0,1949.0,1,3206.0,758.0,1203.0,404.0,17,0.4164670658682635,0.9598802395209581,0.2364316905801622,0.3752339363693076,0.1260137242669994
1501782,Breu Branco,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.022617636956895,33.534258915262754,326.0167708023522,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,97,22609.0,8030.0,14579.0,1,21216.0,5675.0,7696.0,2063.0,78,0.3551682958114025,0.9383873678623557,0.267486802413273,0.3627450980392157,0.09723793363499246
1501808,Breves,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0133333333333333,0.0133333333333333,1.87936212413154,2.150276374079209,1,1,1,0,1,0,1,0,1,0,0,1,3,0.25,2026-08-19/2026-08-20,non_transport_response_system_presence,124,51689.0,23608.0,28081.0,1,50431.0,14777.0,15147.0,3958.0,106,0.45673160633790555,0.9756621331424481,0.2930142174456188,0.300350974598957,0.0784834724673316
1501907,Bujaru,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.2258777734527053,11.85530475100737,164.30082280594263,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,64,12019.0,7592.0,4427.0,1,11321.0,3071.0,3980.0,1189.0,44,0.6316665279973376,0.9419252849654713,0.2712657892412331,0.3515590495539263,0.10502605776874835
1501956,Cachoeira do Piriá,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333337,0.1194380218368657,22.0432980173254,202.0774584636681,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,54,9279.0,5770.0,3509.0,0,8059.0,2298.0,2770.0,648.0,35,0.6218342493803212,0.8685203146890829,0.2851470405757538,0.34371510112917236,0.08040699838689663
1502004,Cachoeira do Arari,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0044444444444444,0.0044444444444444,13.196574408464729,13.196574408464729,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,57,11853.0,6130.0,5723.0,1,11393.0,3102.0,4038.0,1184.0,42,0.5171686492871003,0.9611912595967266,0.2722724479943825,0.35442815764065655,0.10392346177477399
1502103,Cametá,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6273868027306857,0.0214410559069497,12.631385169635248,483.53546306170415,0,1,1,0,0,1,1,0,1,0,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,249,65255.0,30946.0,34309.0,14,62693.0,17798.0,21752.0,6531.0,183,0.4742318596276147,0.9607386407171864,0.28389134353117573,0.34696058571132343,0.10417430973154898
1502152,Canaã dos Carajás,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.0488640752194762,3.96071521999012,515.0278350283725,0,1,1,0,0,1,1,0,1,0,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,119,37682.0,3669.0,34013.0,3,33853.0,9651.0,13265.0,1767.0,94,0.09736744334164853,0.8983864975319781,0.2850855167931941,0.39184119575813076,0.052196260301893484
1502202,Capanema,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.257765989809111,4.413751571042103,132.41778725868411,0,1,1,0,0,1,1,0,1,0,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,125,36039.0,4989.0,31050.0,3,33304.0,8118.0,13937.0,4509.0,100,0.13843336385582286,0.9241099919531619,0.24375450396348786,0.41847826086956524,0.1353891424453519
1502301,Capitão Poço,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.200138300765316,10.102960858732908,168.1481719008702,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,147,27825.0,11844.0,15981.0,2,25225.0,6761.0,9880.0,2729.0,111,0.42566037735849055,0.9065588499550764,0.2680277502477701,0.3916749256689792,0.10818632309217047
1502400,Castanhal,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.3440199668359061,3.898766009957496,116.2772651388984,0,1,1,1,0,1,1,0,1,0,1,0,3,0.25,2026-08-19/2026-08-20,non_transport_response_system_presence,364,99712.0,6861.0,92851.0,9,93847.0,23641.0,39746.0,11341.0,291,0.0688081675224647,0.9411806001283697,0.2519100237620808,0.4235191322045457,0.120845631719714
1502509,Chaves,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0044444444444444,0.0044444444444444,0.9589317554216228,0.9589317554216228,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,37,9631.0,7394.0,2237.0,1,8969.0,2512.0,2771.0,707.0,26,0.767729207766587,0.9312636278683418,0.28007581670197346,0.30895306054186644,0.07882707102241053
1502608,Colares,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.1469303694017652,47.81453596882314,177.66278120764957,0,0,0,0,0,1,0,1,0,1,0,1,0,1.0,2026-08-19/2026-08-20,non_transport_response_system_presence,44,6417.0,3769.0,2648.0,2,6130.0,1425.0,2345.0,853.0,31,0.5873461118902914,0.9552750506467197,0.23246329526916804,0.3825448613376835,0.13915171288743883
1502707,Conceição do Araguaia,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.0219358370144123,9.06830083395286,681.4575537525395,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,94,22127.0,5165.0,16962.0,0,21096.0,5001.0,8243.0,3105.0,79,0.23342522709811542,0.9534053418899986,0.23705915813424347,0.390737580583997,0.14718430034129693
1502756,Concórdia do Pará,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.2001695992446115,7.930946709854012,154.00167683449092,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,83,13298.0,4876.0,8422.0,4,12124.0,3241.0,4464.0,1147.0,38,0.36667167995187244,0.9117160475259437,0.26732101616628173,0.36819531507753217,0.09460574067964368
