municipality_code,municipality_name,race_population_total,diagnostic__race_ignored_count,diagnostic__race_ignored_share,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_share_sum,diagnostic__race_share_residual
1506161,Rio Maria,18384.0,0,0.0,0.23732593559617057,0.11314186248912098,0.6434399477806788,0.004134029590948651,0.0019582245430809398,1.0,0.0
1506187,Rondon do Pará,53143.0,2,3.7634307434657436e-05,0.2115236249364921,0.07592721524942138,0.7102534670605725,0.0002258058446079446,0.0020322526014715015,0.9999623656925655,3.763430743453089e-05
1506195,Rurópolis,35769.0,0,0.0,0.2037238949928709,0.10067376778774917,0.6925550057312198,0.0011182867846459225,0.0019290447035142163,0.9999999999999999,1.1102230246251565e-16
1506203,Salinópolis,44772.0,0,0.0,0.16501384794067722,0.04893683552220138,0.7836594300008934,0.0008040739748056821,0.0015858125614223175,1.0,0.0
1506302,Salvaterra,24129.0,0,0.0,0.10767126694019645,0.21285589953997264,0.6781880724439471,0.00041443905673670687,0.0008703220191470844,0.9999999999999999,1.1102230246251565e-16
1506351,Santa Bárbara do Pará,21087.0,0,0.0,0.16166358419879548,0.0984492815478731,0.7379428083653435,0.000806183904775454,0.0011381419832124057,1.0,0.0
1506401,Santa Cruz do Arari,7445.0,0,0.0,0.13122901276024176,0.2612491605104097,0.6056413700470115,0.001343183344526528,0.0005372733378106112,1.0,0.0
1506500,Santa Izabel do Pará,73019.0,1,1.3695065667839878e-05,0.15865733576192498,0.09909749517248935,0.7372327750311563,0.003820923321327326,0.0011777756474342295,0.9999863049343322,1.369506566784029e-05
1506559,Santa Luzia do Pará,20370.0,0,0.0,0.1653902798232695,0.07594501718213058,0.7213549337260677,0.00117820324005891,0.03613156602847324,0.9999999999999999,1.1102230246251565e-16
1506583,Santa Maria das Barreiras,16548.0,0,0.0,0.21646120377084843,0.10236886632825719,0.6735557167029248,0.0015711868503746676,0.006043026347594876,1.0,0.0
1506609,Santa Maria do Pará,24624.0,0,0.0,0.19765269655620532,0.05908869395711501,0.7248213125406108,0.0023960363872644573,0.016041260558804418,1.0,0.0
1506708,Santana do Araguaia,32413.0,1,3.085181871471323e-05,0.21506802826026594,0.13303304229784346,0.6448030111375066,0.0025915527720359113,0.004473513713633419,0.9999691481812855,3.0851818714539014e-05
1506807,Santarém,331942.0,22,6.627663868989161e-05,0.1690777304468853,0.07226563676786908,0.725479149971983,0.0011718914750167197,0.031939314699555944,0.99993372336131,6.627663868996603e-05
1506906,Santarém Novo,6116.0,0,0.0,0.14159581425768475,0.06262262916939176,0.7936559843034663,0.0014715500327011119,0.0006540222367560497,1.0,0.0
1507003,Santo Antônio do Tauá,27461.0,0,0.0,0.18604566476093368,0.07046356651250865,0.7402498088197808,0.001820763992571283,0.0014201959142056007,1.0,0.0
1507102,São Caetano de Odivelas,16666.0,0,0.0,0.17274690987639504,0.05700228009120365,0.7691707668306732,0.0007200288011520461,0.00036001440057602306,0.9999999999999999,1.1102230246251565e-16
1507151,São Domingos do Araguaia,21092.0,1,4.741134079271762e-05,0.1853783424995259,0.10449459510714963,0.7059074530627726,0.0014697515645742461,0.002702446425184904,0.9999525886592073,4.7411340792669066e-05
1507201,São Domingos do Capim,30599.0,0,0.0,0.11647439458805843,0.10183339324814536,0.7809732344194255,0.0004902120984345893,0.0002287656459361417,0.9999999999999999,1.1102230246251565e-16
1507300,São Félix do Xingu,65418.0,0,0.0,0.18394019994496927,0.09404139533461739,0.6836344736922559,0.0011006145097679537,0.03728331651838943,1.0,0.0
1507409,São Francisco do Pará,14894.0,0,0.0,0.17020276621458305,0.05498858600778837,0.7717872968980798,0.0014099637437894454,0.0016113871357593661,1.0,0.0
1507458,São Geraldo do Araguaia,24255.0,1,4.1228612657184085e-05,0.1865182436611008,0.12376829519686662,0.6695938981653268,0.000989486703772418,0.019088847660276232,0.9999587713873428,4.122861265720701e-05
