municipality_code,municipality_name,diagnostic__female_population_9514,female_15_29_count,female_30_59_count,female_60_plus_count,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,diagnostic__female_age_selected_share_sum
1507409,São Francisco do Pará - PA,7348.0,1709.0,2995.0,1058.0,0.23258029395753946,0.4075939031028851,0.14398475775721284,0.7841589548176374
1507458,São Geraldo do Araguaia - PA,12013.0,3082.0,4500.0,1305.0,0.2565553983184883,0.3745941896279031,0.1086323149920919,0.7397819029384832
1507466,São João da Ponta - PA,2143.0,458.0,809.0,343.0,0.21371908539430703,0.3775081661222585,0.16005599626691555,0.7512832477834811
1507474,São João de Pirabas - PA,10031.0,2408.0,3811.0,1427.0,0.24005582693649685,0.37992224105273653,0.14225899710896223,0.7622370650981956
1507508,São João do Araguaia - PA,6374.0,1485.0,2353.0,774.0,0.23297772199560715,0.3691559460307499,0.12143081267649827,0.7235644807028553
1507607,São Miguel do Guamá - PA,26713.0,7148.0,10011.0,2910.0,0.26758507093924305,0.37476135215063827,0.10893572417923857,0.7512821472691199
1507706,São Sebastião da Boa Vista - PA,12314.0,3595.0,4072.0,1026.0,0.29194412863407504,0.33068052623030697,0.08331979860321585,0.7059444534675978
1507755,Sapucaia - PA,2879.0,827.0,1057.0,236.0,0.2872525182354984,0.36714136853073986,0.08197290725946509,0.7363667940257033
1507805,Senador José Porfírio - PA,10381.0,2775.0,3691.0,684.0,0.2673152875445525,0.35555341489259223,0.06588960601098161,0.6887583084481264
1507904,Soure - PA,12264.0,3070.0,4752.0,1598.0,0.25032615786040446,0.38747553816046965,0.1303000652315721,0.7681017612524462
1507953,Tailândia - PA,35923.0,10639.0,13070.0,2208.0,0.2961612337499652,0.3638337555326671,0.06146479971049189,0.7214597889931242
