municipality_code,municipality_name,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_ignored_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl
1502756,Concórdia do Pará,0.3666716799518724,0.9117160475259436,0.2673210161662817,0.3681953150775321,0.0946057406796436,0.1361184479744057,0.1709013801569882,0.6898180871247349,0.0019344518433094,0.0012276329005617,0.0,0.8805,699.98
1502764,Cumaru do Norte,0.6217287866772403,0.7206978588421887,0.2830105633802817,0.3516725352112676,0.0530369718309859,0.1619407238529495,0.1070105443146195,0.5162439441436306,0.0008549444286121,0.1742661726987746,0.0396836705614135,0.8473,1007.72
1502772,Curionópolis,0.0946278449866721,0.9487389788804592,0.2582666954830344,0.3633023557380592,0.1053598443916144,0.201453634085213,0.1098746867167919,0.6863659147869674,0.0007518796992481,0.0015538847117794,0.0,0.8872,1036.35
1502806,Curralinho,0.5851236572570572,0.8959530352235823,0.3087968771783075,0.2999442353269204,0.0705423114456991,0.1452673804678052,0.0624428516650443,0.7915228740819397,0.0003834468926053,0.0003834468926053,0.0,0.8486,472.98
1502855,Curuá,0.4558194423956336,0.8210650538427496,0.2734459216672655,0.3440531800215595,0.0937836866690621,0.1233264857972657,0.0575901395480626,0.8183041722745625,7.083658000991713e-05,0.0007083658000991,0.0,0.937,556.04
1502905,Curuçá,0.389476764031794,0.9446042814648656,0.2566723452583759,0.3840792937896856,0.1359248360951938,0.1742523387135863,0.0523241723619795,0.7720663079831321,0.00079976734041,0.0005574136008918,0.0,0.9433,614.45
1502939,Dom Eliseu,0.139466477330358,0.9783615647293504,0.2717627950374952,0.3828662266302657,0.0824204305905933,0.2252923876615826,0.1050714725394979,0.6674304083168046,0.0014020928801039,0.0008036386020108,0.0,0.9019,782.32
1502954,Eldorado do Carajás,0.3632991490290203,0.9279947632555094,0.2541735245708911,0.3740105023904694,0.0994592052668704,0.1960130533484676,0.1209208286038592,0.6809733257661748,0.0007803632236095,0.0013124290578887,0.0,0.8801000000000001,879.96
1503002,Faro,0.1644255720688841,0.8145789101203114,0.2881552273385462,0.3423110338835795,0.1065739936287286,0.1293538038496792,0.0230293308890925,0.8379926672777268,0.0001145737855178,0.0095096241979835,0.0,0.9291,594.92
1503044,Floresta do Araguaia,0.3905952380952381,0.9189285714285714,0.2545666537116207,0.3962948568467418,0.0952195880295375,0.2132081796848809,0.1059336238685886,0.6779528438931725,0.001285059783216,0.0016202927701419,0.0,0.894,831.86
