municipality_code,municipality_name,female_race_branca_count,female_race_preta_count,female_race_parda_count,female_race_amarela_count,female_race_indigena_count,diagnostic__female_declared_race_total,socio__female_race_share_branca,socio__female_race_share_preta,socio__female_race_share_parda,socio__female_race_share_amarela,socio__female_race_share_indigena,diagnostic__female_race_declared_share_sum,diagnostic__female_race_residual_share
1506302,Salvaterra - PA,5.46,10.08,34.45,0.02,0.05,50.06,0.10906911705952856,0.20135836995605272,0.688174190970835,0.00039952057530962844,0.0009988014382740712,0.9999999999999999,1.1102230246251565e-16
1506351,Santa Bárbara do Pará - PA,8.15,4.5,37.53,0.03,0.07,50.28,0.1620922832140016,0.08949880668257756,0.7464200477326969,0.0005966587112171837,0.0013922036595067622,1.0,0.0
1506401,Santa Cruz do Arari - PA,6.17,11.51,29.98,0.09,0.03,47.78,0.12913352867308497,0.24089577228966094,0.6274591879447468,0.0018836333193804938,0.0006278777731268313,0.9999999999999999,1.1102230246251565e-16
1506500,Santa Izabel do Pará - PA,7.79,4.12,33.56,0.18,0.06,45.71,0.1704222270837891,0.09013345001093853,0.7341938306716255,0.003937869175235178,0.001312623058411726,1.0,0.0
1506559,Santa Luzia do Pará - PA,8.48,3.26,36.11,0.07,1.81,49.730000000000004,0.1705208123868892,0.06555399155439372,0.7261210536899255,0.001407601045646491,0.03639654132314498,0.9999999999999999,1.1102230246251565e-16
1506583,Santa Maria das Barreiras - PA,10.19,4.07,32.4,0.1,0.24,47.0,0.21680851063829787,0.08659574468085107,0.6893617021276596,0.002127659574468085,0.005106382978723404,1.0,0.0
1506609,Santa Maria do Pará - PA,10.07,2.62,37.06,0.14,0.78,50.67,0.19873692520228933,0.05170712453128084,0.7313992500493389,0.002762976119992106,0.015393724097098875,1.0,0.0
1506708,Santana do Araguaia - PA,10.61,5.91,31.68,0.14,0.22,48.56,0.21849258649093903,0.12170510708401977,0.6523887973640856,0.002883031301482702,0.004530477759472817,0.9999999999999999,1.1102230246251565e-16
1506807,Santarém - PA,8.85,3.29,37.06,0.06,1.61,50.870000000000005,0.17397287202673478,0.06467466090033418,0.7285236878317279,0.0011794770984863375,0.031649302142716725,1.0,0.0
1506906,Santarém Novo - PA,7.15,2.35,37.97,0.08,0.05,47.599999999999994,0.15021008403361347,0.04936974789915967,0.7976890756302522,0.0016806722689075633,0.001050420168067227,1.0,0.0
