service_type,municipality_code,municipality_name,e2sfca_score,routing_ready_origins,routing_ready_female_population,configuration
health,1503507,Irituia,2.4803337852970728e-05,80,12734.0,reference_step_120
health,1503606,Itaituba,0.00033470865028649606,202,58684.0,reference_step_120
health,1503705,Itupiranga,3.089096995313707e-06,94,19975.0,reference_step_120
health,1503754,Jacareacanga,0.0,23,5495.0,reference_step_120
health,1503804,Jacundá,4.142455296984605e-06,86,18315.0,reference_step_120
health,1503903,Juruti,8.509332295692526e-05,50,17868.0,reference_step_120
health,1504000,Limoeiro do Ajuru,0.0,11,4370.0,reference_step_120
health,1504059,Mãe do Rio,2.241850241683033e-05,46,17225.0,reference_step_120
health,1504109,Magalhães Barata,7.689778405266363e-06,20,3887.0,reference_step_120
health,1504208,Marabá,6.550981362753977e-06,474,127275.0,reference_step_120
health,1504307,Maracanã,8.984003783924787e-06,81,12462.0,reference_step_120
health,1504406,Marapanim,5.227714016078614e-06,77,12496.0,reference_step_120
health,1504422,Marituba,1.2301801430552972e-05,218,53590.0,reference_step_120
health,1504455,Medicilândia,3.772865839137005e-05,33,7996.0,reference_step_120
health,1504505,Melgaço,0.0,9,4937.0,reference_step_120
health,1504604,Mocajuba,1.2503364316562734e-05,36,11153.0,reference_step_120
health,1504703,Moju,5.822307215017634e-06,134,28780.0,reference_step_120
health,1504752,Mojuí dos Campos,3.0553437057129336e-05,37,9118.0,reference_step_120
health,1504802,Monte Alegre,0.0,95,25730.0,reference_step_120
health,1504901,Muaná,0.0,25,10409.0,reference_step_120
health,1504950,Nova Esperança do Piriá,1.987287350166328e-05,32,8302.0,reference_step_120
health,1504976,Nova Ipixuna,4.22904508162057e-06,25,5349.0,reference_step_120
health,1505007,Nova Timboteua,2.740280066180079e-05,31,5955.0,reference_step_120
health,1505031,Novo Progresso,0.0,57,15730.0,reference_step_120
health,1505064,Novo Repartimento,1.8562566526474414e-05,93,21996.0,reference_step_120
health,1505106,Óbidos,0.0,74,18742.0,reference_step_120
health,1505205,Oeiras do Pará,0.0,50,10899.0,reference_step_120
health,1505304,Oriximiná,0.0,65,25385.0,reference_step_120
health,1505403,Ourém,2.466734841932367e-05,47,8650.0,reference_step_120
health,1505437,Ourilândia do Norte,1.7967622607582314e-05,62,15106.0,reference_step_120
health,1505486,Pacajá,2.2770744147918755e-05,64,14166.0,reference_step_120
health,1505494,Palestina do Pará,3.335564750505324e-06,13,2963.0,reference_step_120
health,1505502,Paragominas,1.489183719824969e-05,198,51977.0,reference_step_120
health,1505536,Parauapebas,3.5433919542152896e-06,444,132408.0,reference_step_120
health,1505551,Pau D'Arco,1.427814490712812e-05,13,2610.0,reference_step_120
health,1505601,Peixe-Boi,2.411871343667651e-05,22,4059.0,reference_step_120
health,1505635,Piçarra,2.531644769107268e-06,28,4910.0,reference_step_120
health,1505650,Placas,7.003579995018403e-05,31,5696.0,reference_step_120
health,1505700,Ponta de Pedras,0.0,25,8042.0,reference_step_120
health,1505809,Portel,0.0,29,15599.0,reference_step_120
health,1505908,Porto de Moz,9.435129812915556e-05,24,10600.0,reference_step_120
health,1506005,Prainha,3.30447976771496e-07,49,12430.0,reference_step_120
health,1506104,Primavera,9.969909037248864e-06,21,5030.0,reference_step_120
health,1506112,Quatipuru,9.41236397994551e-06,23,5675.0,reference_step_120
health,1506138,Redenção,1.4124356251308593e-05,162,42397.0,reference_step_120
health,1506161,Rio Maria,1.364408806673061e-05,31,8402.0,reference_step_120
health,1506187,Rondon do Pará,4.040698568920748e-06,62,22229.0,reference_step_120
health,1506195,Rurópolis,0.00017122973723204574,53,15024.0,reference_step_120
health,1506203,Salinópolis,9.395394183008284e-06,73,21950.0,reference_step_120
health,1506302,Salvaterra,0.0,55,10910.0,reference_step_120
health,1506351,Santa Bárbara do Pará,1.0806570961880825e-05,44,10013.0,reference_step_120
health,1506401,Santa Cruz do Arari,0.0,8,2852.0,reference_step_120
health,1506500,Santa Izabel do Pará,1.4332140202318472e-05,115,32345.0,reference_step_120
health,1506559,Santa Luzia do Pará,1.3907685114987983e-05,46,8898.0,reference_step_120
health,1506583,Santa Maria das Barreiras,4.665703105678468e-05,38,6519.0,reference_step_120
health,1506609,Santa Maria do Pará,2.7712110065131876e-05,56,12204.0,reference_step_120
health,1506708,Santana do Araguaia,5.040576641967841e-05,73,14754.0,reference_step_120
health,1506807,Santarém,1.5394695193828057e-05,529,156731.0,reference_step_120
health,1506906,Santarém Novo,1.2844014626926045e-05,16,2457.0,reference_step_120
health,1507003,Santo Antônio do Tauá,1.1618246969912189e-05,55,13411.0,reference_step_120
health,1507102,São Caetano de Odivelas,4.40187654769731e-06,42,7848.0,reference_step_120
health,1507151,São Domingos do Araguaia,4.264835892754648e-06,33,9615.0,reference_step_120
health,1507201,São Domingos do Capim,2.2067333263288125e-05,44,10381.0,reference_step_120
health,1507300,São Félix do Xingu,7.92883941866893e-06,128,25504.0,reference_step_120
health,1507409,São Francisco do Pará,2.5211146454584123e-05,27,6944.0,reference_step_120
health,1507458,São Geraldo do Araguaia,3.165447330932771e-07,47,10931.0,reference_step_120
health,1507466,São João da Ponta,7.722576218974936e-06,18,2001.0,reference_step_120
health,1507474,São João de Pirabas,9.736056015570225e-06,36,8770.0,reference_step_120
health,1507508,São João do Araguaia,4.22904508162057e-06,33,5932.0,reference_step_120
health,1507607,São Miguel do Guamá,2.757043416022442e-05,100,25115.0,reference_step_120
health,1507706,São Sebastião da Boa Vista,0.0,16,5557.0,reference_step_120
health,1507755,Sapucaia,1.6099949719882845e-05,11,2879.0,reference_step_120
health,1507805,Senador José Porfírio,0.0,31,6913.0,reference_step_120
health,1507904,Soure,0.0,32,12072.0,reference_step_120
health,1507953,Tailândia,1.065014092532202e-05,123,33966.0,reference_step_120
health,1507961,Terra Alta,1.005039312988967e-05,23,4958.0,reference_step_120
health,1507979,Terra Santa,0.0,25,8173.0,reference_step_120
health,1508001,Tomé-Açu,1.4505538730857855e-05,117,30224.0,reference_step_120
health,1508035,Tracuateua,1.134026059733717e-05,41,9773.0,reference_step_120
health,1508050,Trairão,0.00010129136430531622,31,6744.0,reference_step_120
health,1508084,Tucumã,1.6541758390788123e-05,69,18469.0,reference_step_120
