scenario,service_type,service_id,weighted_demand,capacity,supply_demand_ratio,supply_mode
reference_network,specialized_security,SITE-a18a390929c4b9,1622148.0,1.0,6.164665616207646e-07,unit_presence
reference_network,specialized_security,SITE-b39f6769e4adb4,97216.0,1.0,1.0286372613561553e-05,unit_presence
reference_network,specialized_security,SITE-b9b3e556aa1881,1457115.0,1.0,6.862876300086129e-07,unit_presence
reference_network,specialized_security,SITE-c2fd7554ea8928,153214.0,1.0,6.526818698030206e-06,unit_presence
reference_network,specialized_security,SITE-c5e1291904dd89,397123.0,1.0,2.518111517086646e-06,unit_presence
reference_network,specialized_security,SITE-ce121ba3229e3b,160196.0,1.0,6.242353117431147e-06,unit_presence
reference_network,specialized_security,SITE-d2962e0053d82b,1239069.0,1.0,8.070575569237871e-07,unit_presence
reference_network,specialized_security,SITE-d4bf224d96af65,1498034.0,1.0,6.675415911788384e-07,unit_presence
reference_network,specialized_security,SITE-d62be689b55e61,12072.0,1.0,8.28363154406892e-05,unit_presence
reference_network,specialized_security,SITE-ef10fd187a62ff,74203.0,1.0,1.3476544075037398e-05,unit_presence
reference_network,specialized_security,SITE-f2de8519aae400,311165.0,1.0,3.213729050503752e-06,unit_presence
reference_network,specialized_security,SITE-f920530023c9ac,28887.0,1.0,3.461764807698965e-05,unit_presence
