municipality_code,municipality_name,accessibility_coverage_status,promethee_positive_flow,promethee_negative_flow,promethee_net_flow,promethee_rank,mean_pairwise_comparable_weight_fraction,coverage_limited_rank_flag,robustness_mean_rank,robustness_sd_rank,robustness_best_rank,robustness_worst_rank,robustness_top10_probability,robustness_top_quartile_probability,top_10,top_quartile
1504059,Mãe do Rio,routing_ready_reachable,0.0454247439315265,0.0886947832663538,-0.0432700393348272,104,0.9968919968919968,False,109.601,8.766321862674245,82,135,0.0,0.0,False,False
1506708,Santana do Araguaia,routing_ready_reachable,0.1046196537724166,0.1486514177036393,-0.0440317639312227,105,0.9968919968919968,False,87.8058,39.65795363303558,2,139,0.0282,0.1759,False,False
1506203,Salinópolis,routing_ready_reachable,0.0464569764393949,0.0930015519153537,-0.0465445754759588,106,0.9968919968919968,False,108.7673,12.719164701740391,62,139,0.0,0.0,False,False
1506195,Rurópolis,routing_ready_reachable,0.0852167656034247,0.133540501464283,-0.0483237358608583,107,0.9968919968919968,False,92.4641,30.55477886010629,23,135,0.0,0.016,False,False
1502103,Cametá,routing_ready_reachable,0.0851514174977137,0.1352596895627681,-0.0501082720650544,108,0.9968919968919968,False,89.5927,33.78605639476146,14,132,0.0,0.0908,False,False
1505007,Nova Timboteua,routing_ready_reachable,0.0456166687033613,0.096155235941224,-0.0505385672378627,109,0.9968919968919968,False,112.5946,9.35749169596212,87,139,0.0,0.0,False,False
1505908,Porto de Moz,routing_ready_reachable,0.098489865875554,0.1491943908351049,-0.0507045249595508,110,0.9968919968919968,False,93.3939,34.56317900295053,11,143,0.0,0.0755,False,False
1505486,Pacajá,routing_ready_reachable,0.0807746718115721,0.1315483712646045,-0.0507736994530324,111,0.9968919968919968,False,88.9716,32.3664578451211,15,133,0.0,0.0907,False,False
1503200,Igarapé-Açu,routing_ready_reachable,0.0459862221124871,0.0971340518847119,-0.0511478297722248,112,0.9968919968919968,False,113.4629,10.387156665324676,82,142,0.0,0.0,False,False
1507607,São Miguel do Guamá,routing_ready_reachable,0.0458736802352612,0.0970863328879291,-0.0512126526526679,113,0.9968919968919968,False,113.2484,9.969668873137149,82,141,0.0,0.0,False,False
1506609,Santa Maria do Pará,routing_ready_reachable,0.0470629222954989,0.098285281730498,-0.051222359434999,114,0.9968919968919968,False,113.2634,10.910592121420338,67,143,0.0,0.0,False,False
1506500,Santa Izabel do Pará,routing_ready_reachable,0.0433858500978341,0.1024906039268283,-0.0591047538289942,115,0.9968919968919968,False,117.3566,9.17181751017748,91,140,0.0,0.0,False,False
1505437,Ourilândia do Norte,routing_ready_reachable,0.0843751552886071,0.154551723049341,-0.0701765677607338,116,0.9968919968919968,False,98.7742,34.703213314619745,9,140,0.0004,0.1032,False,False
1501501,Benevides,routing_ready_reachable,0.0418453050897454,0.1123119433254476,-0.0704666382357022,117,0.9968919968919968,False,119.2376,9.754298859477233,88,140,0.0,0.0,False,False
1501204,Baião,routing_ready_reachable,0.0635346538886911,0.1377902916795365,-0.0742556377908454,118,0.9968919968919968,False,100.666,25.785438603987348,22,136,0.0,0.0027,False,False
1504422,Marituba,routing_ready_reachable,0.0416757424243327,0.117049632913505,-0.0753738904891723,119,0.9968919968919968,False,120.7843,10.017163945448797,86,142,0.0,0.0,False,False
1504976,Nova Ipixuna,routing_ready_reachable,0.0632830716519755,0.1387715279829862,-0.0754884563310106,120,0.9968919968919968,False,102.0501,26.01570275794986,32,138,0.0,0.0042,False,False
1508308,Viseu,routing_ready_reachable,0.0546958481903978,0.1434791693634564,-0.0887833211730585,121,0.9968919968919968,False,108.4548,21.482247483910932,24,137,0.0,0.0002,False,False
