origin_id,SITE-006e821a065971,SITE-0101ec991f50ad,SITE-03a74bcea046c9,SITE-040227533e04c2,SITE-04666f8b44bb19,SITE-077bef27f16e42,SITE-08ef9bb419f39f,SITE-097e969081cfef,SITE-0a2b2e0c082b9d,SITE-0aa0ade6735137,SITE-0ad15b4ef7d9c9,SITE-0bc277425d526d,SITE-11255cd7680d88,SITE-12d113cb5eb879,SITE-13d3c7226a80e2,SITE-1462ebd3576b1c,SITE-154bcbfa675517,SITE-15850132cc1049,SITE-170969c40c4e1e,SITE-198118f05c2209,SITE-1cea477713d69a,SITE-1d1d8df114a006,SITE-1d2833b582b2f7,SITE-1f44a6770e0f03,SITE-1faedaf402f505,SITE-220c7479426e1d,SITE-2510152617fff3,SITE-25d38c9841ea05,SITE-260d10dc753430,SITE-2651a6a3b32c13,SITE-266b07c1dcc19a,SITE-2764332cfdcaf1,SITE-27c2bf085b0918,SITE-297435db9d61e6,SITE-2ca7b9f7a0a9bd,SITE-2e6d01adca713b,SITE-2e8bebb63183fd,SITE-2f443fb6d4866c,SITE-313981b443f7cb,SITE-32cb4e6fb07aa3
150010705000017,177.3118304,,154.4538758,,237.276828,38.55558769,,109.0491712,,491.9964175,450.3736106,,,176.5029076,23.09662665,135.1665889,202.9528694,4.232402113,471.7988007,,562.6733901,,202.9511767,,,79.49013461,,,92.18831932,381.4342473,,232.745011,340.8944973,97.7331922,,132.4734968,686.2378977,232.2870164,410.0882349,
150010705000018,177.2526128,,154.3946582,,237.2176104,38.43131242,,108.9899536,,491.9371999,450.314393,,,176.44369,23.03740905,135.1073713,202.8936518,4.173184509,471.7395831,,562.6141724,,202.8919591,,,79.43091701,,,92.12910171,381.3750297,,232.6857934,340.8352797,97.6739746,,132.4142792,686.1786801,232.2277988,410.0290173,
150010705000020,175.8653983,,153.0074437,,235.8303959,37.10915559,,107.6027391,,490.5499854,448.9271785,,,175.0564755,21.65019454,133.7201568,201.5064373,2.785970006,470.3523686,,561.2269579,,201.5047446,,,78.0437025,,,90.74188721,379.9878152,,231.2985789,339.4480652,96.28676009,,131.0270647,684.7914656,230.8405843,408.6418028,
150010705000022,176.2441064,,153.3861518,,236.209104,37.19794359,,107.9814472,,490.9286936,449.3058866,,,175.4351836,22.02890267,134.0988649,201.8851454,3.16467813,470.7310767,,561.6056661,,201.8834527,,,78.42241063,,,91.12059533,380.3665233,,231.677287,339.8267733,96.66546822,,131.4057728,685.1701738,231.2192924,409.0205109,
150010705000023,175.9827185,,153.1247639,,235.9477161,37.22647581,,107.7200593,,490.6673057,449.0444987,,,175.1737957,21.76751477,133.837477,201.6237575,2.903290229,470.4696888,,561.3442782,,201.6220648,,,78.16102273,,,90.85920743,380.1051354,,231.4158991,339.5653854,96.40408032,,131.1443849,684.9087859,230.9579045,408.759123,
150010705000025,176.1290131,,153.2710585,,236.0940107,37.37277038,,107.8663539,,490.8136002,449.1907933,,,175.3200903,21.91380934,133.9837716,201.7700521,3.049584799,470.6159834,,561.4905727,,201.7683594,,,78.3073173,,,91.005502,380.2514299,,231.5621937,339.71168,96.55037489,,131.2906795,685.0550804,231.1041991,408.9054176,
150010705000027,176.6191047,,153.7611501,,236.5841024,37.86286202,,108.3564455,,491.3036919,449.6808849,,,175.8101819,22.40390098,134.4738632,202.2601438,3.539676445,471.106075,,561.9806644,,202.258451,,,78.79740894,,,91.49559365,380.7415216,,232.0522853,340.2017717,97.04046653,,131.7807711,685.5451721,231.5942908,409.3955092,
150010705000028,177.4250959,,154.5671413,,237.3900935,38.66885318,,109.1624367,,492.109683,450.4868761,,,176.6161731,23.20989214,135.2798544,203.0661349,4.345667598,471.9120662,,562.7866555,,203.0644422,,,79.6034001,,,92.3015848,381.5475127,,232.8582765,341.0077628,97.84645769,,132.5867623,686.3511632,232.4002819,410.2015004,
150010705000031,177.114182,,154.2562274,,237.0791796,38.35793926,,108.8515228,,491.7987691,450.1759621,,,176.3052592,22.89897822,134.9689405,202.755221,4.03475368,471.6011522,,562.4757416,,202.7535283,,,79.29248618,,,91.99067088,381.2365988,,232.5473625,340.6968489,97.53554377,,132.2758484,686.0402493,232.089368,409.8905864,
150010705000032,177.5610983,,154.7031436,,237.5260959,38.80485554,,109.2984391,,492.2456854,450.6228784,,,176.7521754,23.3458945,135.4158568,203.2021373,4.481669963,472.0480685,,562.9226579,,203.2004446,,,79.73940246,,,92.43758717,381.6835151,,232.9942788,341.1437652,97.98246005,,132.7227647,686.4871656,232.5362843,410.3375027,
