service_id,service_name,service_type,provider_source,municipality_code,municipality_name,address_public,latitude,longitude,capacity,capacity_type,capacity_source,reference_date,validation_status,redistribution_status,functional_records,service_ids,service_names
CNES-5572924,HOSPITAL MUNICIPAL DE AURORA DO PARA,health,CNES,150095.0,,"RUA BENEDITO ALMEIDA, 621",-2.137782297668166,-47.55637049674988,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-5572924,HOSPITAL MUNICIPAL DE AURORA DO PARA
CNES-5585422,HOSPITAL REGIONAL DO BAIXO AMAZONAS DO PA DR WALDEMAR PENNA,health,CNES,150680.0,,"AV SERGIO HENN, 1100",-2.4518525330431613,-54.71530973911285,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-5585422,HOSPITAL REGIONAL DO BAIXO AMAZONAS DO PA DR WALDEMAR PENNA
CNES-5868483,CENTRO DE PARTO NORMAL MARIA BRASIL,health,CNES,150390.0,,"RUA BELEM, S/N",-2.1583779087522057,-56.09607338905335,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-5868483,CENTRO DE PARTO NORMAL MARIA BRASIL
CNES-6221890,USF SAO JOAO DE PANELAS,health,CNES,150160.0,,"RODOVIA MAGALHAES BARATA, S/N",-1.4716198995191188,-47.41089820861816,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6221890,USF SAO JOAO DE PANELAS
CNES-6291821,USF ESTIVA,health,CNES,150160.0,,"TRANS CUXIU, S/N",-1.362970056036735,-47.30706453323364,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6291821,USF ESTIVA
CNES-6444261,UNIDADE BASICA DE SAUDE CREPURIZINHO,health,CNES,150360.0,,"COMUNIDADE DE CREPURIZINHO, S/N",-4.220079037169984,-55.96435546875,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6444261,UNIDADE BASICA DE SAUDE CREPURIZINHO
CNES-6444288,UNIDADE BASICA DE SAUDE CREPURIZAO,health,CNES,150360.0,,"COMUNIDADE CREPURIZAO, S/N",-4.30978050198082,-55.94856262207031,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6444288,UNIDADE BASICA DE SAUDE CREPURIZAO
CNES-6703615,USF BOA ESPERANCA,health,CNES,150160.0,,"BOA ESPERANCA, S/N",-1.366874244274408,-47.3935604095459,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6703615,USF BOA ESPERANCA
CNES-6710158,HOSPITAL REGIONAL PUBLICO DO MARAJO,health,CNES,150180.0,,"AVENIDA RIO BRANCO, 1266",-1.6816322968690174,-50.47978346165137,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6710158,HOSPITAL REGIONAL PUBLICO DO MARAJO
CNES-6731783,USF OSVALDO BOARETO,health,CNES,150095.0,,"RUA ESTRELA DE OURO, 56",-2.133504465509413,-47.55728244781494,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6731783,USF OSVALDO BOARETO
CNES-6819605,UNIDADE BASICA DE SAUDE MARIA MADALENA,health,CNES,150360.0,,"ESTRADA DO JACAREZINHO, S/N",-4.222196,-56.001639,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-6819605,UNIDADE BASICA DE SAUDE MARIA MADALENA
CNES-7090250,UNIDADE BASICA DE SAUDE DO LIBERDADE,health,CNES,150360.0,,"SETIMA TRAVESSA COM OITAVA RUA, S/N",-4.272891,-55.996616,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7090250,UNIDADE BASICA DE SAUDE DO LIBERDADE
CNES-7105185,UNIDADE BASICA DE SAUDE JARDIM DO OURO,health,CNES,150360.0,,"TRANSGARIMPEIRA, S/N",-4.254841,-55.768801,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7105185,UNIDADE BASICA DE SAUDE JARDIM DO OURO
CNES-7155840,UNIDADE DE PRONTO ATENDIMENTO DE XINGUARA,health,CNES,150840.0,,"BR 155 ESQUINA COM AVENIDA HERMES DANTAS, S/N",-7.1071181942611625,-49.93768125772476,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7155840,UNIDADE DE PRONTO ATENDIMENTO DE XINGUARA
CNES-7191898,UNIDADE BASICA DE SAUDE BELA VISTA,health,CNES,150360.0,,"TRAVESSA QUINZE DE AGOSTO, S/N",-4.2735987,-55.9848623,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7191898,UNIDADE BASICA DE SAUDE BELA VISTA
CNES-7243995,USF ALMERINDA TORRES BARBOSA,health,CNES,150095.0,,"COMUNIDADE VILA FATIMA ROD BR 010 KM 75, S/N",-2.2895248747913604,-47.56500720977783,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7243995,USF ALMERINDA TORRES BARBOSA
CNES-7648839,UNIDADE BASICA DE SAUDE VALE DO PIRACANA,health,CNES,150360.0,,"AVENIDA PRINCIPAL, S/N",-4.242753,-55.974463,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7648839,UNIDADE BASICA DE SAUDE VALE DO PIRACANA
CNES-7765096,UNIDADE BASICA DE SAUDE VIVA ITAITUBA,health,CNES,150360.0,,"RUA PRIMEIRO DE MAIO, S/N",-4.256277,-56.021007,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7765096,UNIDADE BASICA DE SAUDE VIVA ITAITUBA
CNES-7898355,UPA 24 DE ALTAMIRA,health,CNES,150060.0,,"RUA IRAPURU, 458",-3.2090538418759165,-52.22429394721985,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7898355,UPA 24 DE ALTAMIRA
CNES-7926774,UNIDADE DE SAUDE AGROVILA NOVA ESPERANCA,health,CNES,150360.0,,"COMUNIDADE NOVA ESPERANCA, S/N",-4.721472048572521,-56.0256814956665,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-7926774,UNIDADE DE SAUDE AGROVILA NOVA ESPERANCA
CNES-9154388,HOSPITAL MUNICIPAL DE NOVA IPIXUNA,health,CNES,150497.0,,"RUA CACHOEIRA DA FUMACA, S/N",-4.9217467,-49.0771267,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-9154388,HOSPITAL MUNICIPAL DE NOVA IPIXUNA
CNES-9581898,UBS DO BAIRRO DA PAZ RAIMUNDO NERES DOS SANTOS,health,CNES,150360.0,,"RUA DEZ DE NOVEMBRO, S/N",-4.255137,-56.011458,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-9581898,UBS DO BAIRRO DA PAZ RAIMUNDO NERES DOS SANTOS
CNES-9711260,USF PEDRO ALVES FERREIRA,health,CNES,150095.0,,"VILA DO REPARTIMENTO, S/N",-2.2353650483634064,-47.53412961959839,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-9711260,USF PEDRO ALVES FERREIRA
CNES-9785493,CENTRO DE ATENCAO PSICOSSOCIAL DE VITORIA DO XINGU,health,CNES,150835.0,,"RUA CARLOS DALLACQUA, S/N",-2.890111059,-52.013403,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-9785493,CENTRO DE ATENCAO PSICOSSOCIAL DE VITORIA DO XINGU
