municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability,e2sfca_score__creas,e2sfca_score__health,e2sfca_score__specialized_justice,e2sfca_score__specialized_security,e2sfca_percentile__creas,e2sfca_percentile__health,e2sfca_percentile__specialized_justice,e2sfca_percentile__specialized_security,e2sfca_services_observed,e2sfca_complete_service_coverage,e2sfca_mean_within_service_percentile_complete_only,integrated_descriptive_pattern,promethee_top_quartile_and_lower_e2sfca
1500404,Alenquer,4,27,0.0827019958203452,False,True,0.6426,3.937478924914908e-05,0.0,0.0,0.0,0.4405594405594406,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.222027972027972,Lower E2SFCA accessibility quartile,True
1504802,Monte Alegre,2,28,0.0824413601816144,False,True,0.6255,6.654810475586503e-05,0.0,0.0,0.0,0.8321678321678322,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.31993006993006995,Lower E2SFCA accessibility quartile,True
1504505,Melgaço,4,29,0.0780739344844562,False,True,0.6191,0.0002025521571804,0.0,0.0,0.0,0.986013986013986,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3583916083916084,Lower E2SFCA accessibility quartile,True
1501725,Brasil Novo,3,30,0.072512121798778,False,True,0.3855,7.027336106698121e-05,4.074592186561891e-05,0.0,1.3476544075037396e-05,0.8601398601398601,0.916083916083916,0.24125874125874125,0.9230769230769231,4,True,0.7351398601398602,Higher E2SFCA accessibility quartile,False
1502806,Curralinho,4,31,0.0720501265038291,False,True,0.5638,0.0001517911353976,0.0,0.0,0.0,0.9370629370629371,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3461538461538462,Lower E2SFCA accessibility quartile,True
1504901,Muaná,4,32,0.0719723401825703,False,True,0.5725,9.607070804111828e-05,0.0,0.0,0.0,0.9090909090909091,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.33916083916083917,Lower E2SFCA accessibility quartile,True
1500347,Água Azul do Norte,3,33,0.0714183921057945,False,True,0.493,5.342895242140356e-05,1.888438122152912e-05,0.0,5.363659708476068e-06,0.6853146853146853,0.7132867132867133,0.24125874125874125,0.6573426573426573,4,True,0.5743006993006994,Intermediate E2SFCA accessibility,False
1503101,Gurupá,4,34,0.0692713072763021,False,True,0.5159,0.0001544401544401,0.0,0.0,0.0,0.9440559440559441,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3479020979020979,Lower E2SFCA accessibility quartile,True
1502004,Cachoeira do Arari,3,35,0.0692613461229705,False,True,0.5223,0.0001326435866825,0.0,0.0,0.0,0.9300699300699301,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.34440559440559443,Lower E2SFCA accessibility quartile,True
1505205,Oeiras do Pará,4,36,0.0692479840431148,False,True,0.4319,0.0001036366216154,0.0,0.0,7.040442797870926e-06,0.916083916083916,0.1048951048951049,0.24125874125874125,0.7762237762237763,4,True,0.5096153846153846,Intermediate E2SFCA accessibility,False
1500859,Anapu,4,37,0.0689404665976639,False,False,0.5003,5.920091432678823e-05,2.2647943524624897e-05,0.0,0.0,0.7412587412587412,0.7762237762237763,0.24125874125874125,0.10139860139860139,4,True,0.46503496503496505,Intermediate E2SFCA accessibility,False
1507706,São Sebastião da Boa Vista,4,38,0.0678956590170929,False,False,0.4833,0.0001799532121648,0.0,0.0,0.0,0.972027972027972,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3548951048951049,Lower E2SFCA accessibility quartile,False
1503044,Floresta do Araguaia,3,39,0.067829954692994,False,False,0.4585,4.075191537320624e-05,1.2438765553722656e-05,0.0,7.334697034434561e-06,0.45454545454545453,0.5594405594405595,0.24125874125874125,0.7972027972027972,4,True,0.5131118881118881,Intermediate E2SFCA accessibility,False
